상호명,상권업종소분류명,시군구명,행정동명,지번주소,도로명주소,경도,위도
경보,카페,제주시,오라동,제주특별자치도 제주시 오라이동 48-5,제주특별자치도 제주시 오남로 297,126.514487,33.469824
다랑쉬,카페,제주시,용담2동,제주특별자치도 제주시 용담이동 626-10,제주특별자치도 제주시 용문로21길 4,126.509329,33.508879
카페라올라,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 신도리 3074-4,제주특별자치도 서귀포시 대정읍 노을해안로 720,126.171327,33.276237
컴포즈커피화북공단점,카페,제주시,화북동,제주특별자치도 제주시 화북이동 3713-1,제주특별자치도 제주시 화남로 65,126.563782,33.512193
트라이브,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 애월리 2467,제주특별자치도 제주시 애월읍 애월로 11,126.311232,33.460116
에이바우트커피종합경,카페,제주시,오라동,제주특별자치도 제주시 오라일동 2451-6,제주특별자치도 제주시 서사로 184,126.519485,33.495935
플팝카페,카페,제주시,애월읍,제주특별자치도 제주시 애월읍 어음리 1503,제주특별자치도 제주시 애월읍 어림비로 478,126.344978,33.396691
진저,카페,제주시,한림읍,제주특별자치도 제주시 한림읍 협재리 2447-7,제주특별자치도 제주시 한림읍 한림로 333,126.240034,33.39374
피카,카페,제주시,화북동,제주특별자치도 제주시 화북일동 1953-11,제주특별자치도 제주시 진동로5길 9,126.564124,33.521237
카페다,카페,제주시,조천읍,제주특별자치도 제주시 조천읍 조천리 2342,제주특별자치도 제주시 조천읍 신북로 246,126.638513,33.537137
카페봄봄,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 보성리 2476,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8,126.274326,33.279045
커피볶는조아저씨,카페,제주시,한경면,제주특별자치도 제주시 한경면 금등리 572-1,제주특별자치도 제주시 한경면 금등4길 44,126.195241,33.35926
카페리꼬,카페,제주시,한림읍,제주특별자치도 제주시 한림읍 옹포리 325-1,제주특별자치도 제주시 한림읍 한림로 542,126.256365,33.405812
인디55,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 동일리 3123,제주특별자치도 서귀포시 대정읍 동일하모로98번길 48-36,126.242302,33.22364
비주비주,카페,제주시,한림읍,제주특별자치도 제주시 한림읍 협재리 2996,제주특별자치도 제주시 한림읍 비양도길 32,126.228337,33.405019
카페봄봄예래점,카페,서귀포시,예래동,제주특별자치도 서귀포시 상예동 2804-1,제주특별자치도 서귀포시 소보리당로164번길 63,126.384553,33.264087
공차제주연동점,카페,제주시,연동,제주특별자치도 제주시 연동 272-9,제주특별자치도 제주시 신광로 35,126.490266,33.48894
비양정거장,카페,제주시,우도면,제주특별자치도 제주시 우도면 연평리 33,제주특별자치도 제주시 우도면 우도해안길 918,126.964589,33.513046
이스턴펫살롱,카페,제주시,일도2동,제주특별자치도 제주시 일도이동 72-2,제주특별자치도 제주시 연삼로 522,126.545058,33.501117
카페봄봄,카페,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동 642-1,제주특별자치도 서귀포시 동홍서로 47,126.569516,33.253108
오알엔,카페,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 오조리 394,제주특별자치도 서귀포시 성산읍 해맞이해안로 2714,126.915753,33.471801
피노키오,카페,제주시,우도면,제주특별자치도 제주시 우도면 연평리 862,제주특별자치도 제주시 우도면 우도로 339,126.948256,33.520505
카페담아,카페,서귀포시,송산동,제주특별자치도 서귀포시 서귀동 759-9,제주특별자치도 서귀포시 칠십리로 94-1,126.565779,33.240697
슈푸,카페,제주시,이도1동,제주특별자치도 제주시 이도일동 1461,제주특별자치도 제주시 중앙로 93,126.523895,33.50999
카페아띠,카페,서귀포시,대천동,제주특별자치도 서귀포시 도순동 907,제주특별자치도 서귀포시 일주서로 332-3,126.473097,33.253034
카페봄봄용담점,카페,제주시,용담2동,제주특별자치도 제주시 용담이동 598-2,제주특별자치도 제주시 용담로 64,126.50948,33.512585
떼르떼,카페,제주시,노형동,제주특별자치도 제주시 노형동 2586-3,제주특별자치도 제주시 수덕로 81,126.469682,33.483678
봄봄,카페,제주시,아라동,제주특별자치도 제주시 아라일동 368-15,제주특별자치도 제주시 산천단동3길 31,126.558336,33.45054
친봉,카페,서귀포시,영천동,제주특별자치도 서귀포시 상효동 1314-2,제주특별자치도 서귀포시 하신상로 417,126.596072,33.291137
몽티죠,카페,제주시,건입동,제주특별자치도 제주시 건입동 1105-1,제주특별자치도 제주시 연무정길 63,126.53276,33.514559
카페두가시,카페,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 창천리 870-1,제주특별자치도 서귀포시 안덕면 대평감산로 9,126.366632,33.235497
가파도봄날에,카페,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍 가파리 463-1,제주특별자치도 서귀포시 대정읍 가파로67번길 47-2,126.270426,33.169584
카페봄봄,카페,서귀포시,중문동,제주특별자치도 서귀포시 중문동 2167-16,제주특별자치도 서귀포시 천제연로 153,126.421407,33.252858
청춘역,카페,서귀포시,정방동,제주특별자치도 서귀포시 서귀동 513-8,제주특별자치도 서귀포시 이중섭로 31,126.564393,33.245246
제이스퀘어드카페,카페,서귀포시,중문동,제주특별자치도 서귀포시 중문동 2117-5,제주특별자치도 서귀포시 천제연로 172-3,126.423207,33.251568
볼스프로덕션,카페,서귀포시,중문동,제주특별자치도 서귀포시 회수동 554-2,제주특별자치도 서귀포시 일주서로 626,126.442479,33.253405
힌즈,카페,제주시,외도동,제주특별자치도 제주시 외도이동 301-3,제주특별자치도 제주시 월대5길 7,126.435289,33.494607
제주노형뜨란채점빽다방,카페,제주시,노형동,제주특별자치도 제주시 노형동 2615-5,제주특별자치도 제주시 수덕로 35,126.473355,33.486588
디뷰,카페,제주시,노형동,제주특별자치도 제주시 노형동 3801-9,제주특별자치도 제주시 노형7길 9-16,126.477505,33.479988
2월22일,카페,제주시,오라동,제주특별자치도 제주시 오라일동 1012-8,제주특별자치도 제주시 오라로18길 10-1,126.517149,33.494105
갤러리&카페아토,카페,서귀포시,표선면,제주특별자치도 서귀포시 표선면 토산리 1338-1,제주특별자치도 서귀포시 표선면 토산중앙로 249,126.767576,33.324414
세논오라,카페,제주시,조천읍,제주특별자치도 제주시 조천읍 선흘리 2073,제주특별자치도 제주시 조천읍 선교로 159-27,126.703673,33.485829
터치우드,카페,제주시,조천읍,제주특별자치도 제주시 조천읍 함덕리 2437,제주특별자치도 제주시 조천읍 함대로 160,126.658661,33.530549
엔피,카페,서귀포시,송산동,제주특별자치도 서귀포시 서귀동 700-32,제주특별자치도 서귀포시 천지연로 29,126.563058,33.241878
공차이마트신제주점,카페,제주시,노형동,제주특별자치도 제주시 노형동 919,제주특별자치도 제주시 1100로 3348,126.480434,33.484968
누베커피,카페,제주시,아라동,제주특별자치도 제주시 아라일동 6143-7,제주특별자치도 제주시 인다14길 15,126.547181,33.471652
카페봄봄,카페,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 남원리 104-1,제주특별자치도 서귀포시 남원읍 남한로 8,126.718058,33.279563
템플라도,카페,제주시,한경면,제주특별자치도 제주시 한경면 두모리 568-1,제주특별자치도 제주시 한경면 신한로 183-16,126.1965,33.33919
제주의별,카페,제주시,용담1동,제주특별자치도 제주시 용담일동 386-1,제주특별자치도 제주시 동한두기길 42-5,126.514952,33.515608
