시군구명,행정동명,전체상가수
서귀포시,남원읍,1345
서귀포시,대륜동,1242
서귀포시,대정읍,1890
서귀포시,대천동,704
서귀포시,동홍동,1159
서귀포시,서홍동,526
서귀포시,성산읍,1801
서귀포시,송산동,395
서귀포시,안덕면,1567
서귀포시,영천동,350
서귀포시,예래동,557
서귀포시,정방동,646
서귀포시,중문동,851
서귀포시,중앙동,1027
서귀포시,천지동,648
서귀포시,표선면,1313
서귀포시,효돈동,290
제주시,건입동,515
제주시,구좌읍,2377
제주시,노형동,4221
제주시,도두동,554
제주시,봉개동,263
제주시,삼도1동,973
제주시,삼도2동,918
제주시,삼양동,993
제주시,아라동,2140
제주시,애월읍,3563
제주시,연동,4553
제주시,오라동,864
제주시,외도동,1164
제주시,용담1동,623
제주시,용담2동,1110
제주시,우도면,373
제주시,이도1동,1080
제주시,이도2동,4478
제주시,이호동,340
제주시,일도1동,1116
제주시,일도2동,1731
제주시,조천읍,2462
제주시,추자면,176
제주시,한경면,1175
제주시,한림읍,2442
제주시,화북동,950
